,Time,Meters,State.0,Value[mm].0,Deviation [mm].0,State.1,Value[mm].1,Deviation [mm].1,State.2,Value[mm].2,Deviation [mm].2,State.3,Value[mm].3,Deviation [mm].3,State.4,Value[mm].4,Deviation [mm].4,State.5,Value[mm].5,Deviation [mm].5,State.6,Value[mm].6,Deviation [mm].6,State.7,Value[mm].7,Deviation [mm].7,State.8,Value[mm].8,Deviation [mm].8,State.9,Value[mm].9,Deviation [mm].9,State.10,Value[mm].10,Deviation [mm].10,State.11,Value[mm].11,Deviation [mm].11,State.12,Value[mm].12,Deviation [mm].12,hard_extruder_region5_temprature,hard_extruder_neck_temprature,hard_extruder_body_temprature,hard_extruder_current,hard_extruder_speed_rpm,soft_extruder_neck_temprature,soft_extruder_body_temprature,soft_extruder_hose_temprature,soft_extruder_speed_rpm,tractor_speed
0,11:12:16,208.768,0,4.654,0.054,0,3.676,0.076,0,3.643,0.243,0,1.474,0.074,0,2.88,-0.02,0,7.664,0.164,0,16.968,0.068,2,3.399,-0.501,0,2.234,-0.266,0,1.503,-0.097,0,2.08,-0.12,2,8.324,-0.376,2,12.813,-0.987,200.600006,62.600002,232.199997,310,12.980484,198.900009,192.100006,209.900009,12.895308,10.469999
1,11:12:16,208.819,0,4.652,0.052,0,3.676,0.076,0,3.645,0.245,0,1.472,0.072,0,2.876,-0.024,0,7.666,0.166,0,16.96,0.06,0,3.4,-0.5,0,2.239,-0.261,0,1.503,-0.097,0,2.08,-0.12,2,8.307,-0.393,2,12.815,-0.985,200.600006,62.600002,232.199997,310,12.980484,198.900009,192.100006,209.900009,12.895308,10.469999
2,11:12:16,208.868,0,4.651,0.051,0,3.678,0.078,0,3.645,0.245,0,1.47,0.07,0,2.875,-0.025,0,7.665,0.165,0,16.952,0.052,0,3.407,-0.493,0,2.241,-0.259,0,1.503,-0.097,0,2.08,-0.12,2,8.3,-0.4,2,12.818,-0.982,200.600006,62.600002,232.199997,310,12.980484,198.900009,192.100006,209.900009,12.895308,10.469999
3,11:12:18,209.318,0,4.642,0.042,0,3.704,0.104,0,3.664,0.264,0,1.477,0.077,0,2.879,-0.021,0,7.685,0.185,0,16.933,0.033,0,3.41,-0.49,0,2.291,-0.209,0,1.508,-0.092,0,2.09,-0.11,2,8.304,-0.396,2,12.841,-0.959,200.699997,62.600002,232.300003,311,12.96367,198.900009,192.100006,210,13.054101,10.53
4,11:12:18,209.367,0,4.641,0.041,0,3.706,0.106,0,3.662,0.262,0,1.476,0.076,0,2.879,-0.021,0,7.689,0.189,0,16.936,0.036,0,3.41,-0.49,0,2.296,-0.204,0,1.508,-0.092,0,2.091,-0.109,2,8.288,-0.412,2,12.84,-0.96,200.699997,62.600002,232.300003,311,12.96367,198.900009,192.100006,210,13.054101,10.53
5,11:12:18,209.417,0,4.635,0.035,0,3.71,0.11,0,3.666,0.266,0,1.482,0.082,0,2.878,-0.022,0,7.684,0.184,0,16.939,0.039,0,3.408,-0.492,0,2.286,-0.214,0,1.513,-0.087,0,2.091,-0.109,2,8.29,-0.41,2,12.833,-0.967,200.699997,62.600002,232.300003,311,12.96367,198.900009,192.100006,210,13.054101,10.53
6,11:12:18,209.467,0,4.635,0.035,0,3.711,0.111,0,3.669,0.269,0,1.478,0.078,0,2.877,-0.023,0,7.682,0.182,0,16.936,0.036,2,3.399,-0.501,0,2.283,-0.217,0,1.513,-0.087,0,2.092,-0.108,2,8.296,-0.404,2,12.824,-0.976,200.699997,62.600002,232.300003,311,12.96367,198.900009,192.100006,210,13.054101,10.53
7,11:12:19,209.518,0,4.636,0.036,0,3.71,0.11,0,3.671,0.271,0,1.481,0.081,0,2.878,-0.022,0,7.683,0.183,0,16.932,0.032,2,3.395,-0.505,0,2.284,-0.216,0,1.513,-0.087,0,2.091,-0.109,2,8.31,-0.39,2,12.818,-0.982,200.699997,62.600002,232.300003,313,12.940854,198.900009,192.199997,210,12.9826,10.5
8,11:12:19,209.568,0,4.636,0.036,0,3.71,0.11,0,3.669,0.269,0,1.483,0.083,0,2.876,-0.024,0,7.681,0.181,0,16.936,0.036,2,3.391,-0.509,0,2.279,-0.221,0,1.513,-0.087,0,2.091,-0.109,2,8.313,-0.387,2,12.811,-0.989,200.699997,62.600002,232.300003,313,12.940854,198.900009,192.199997,210,12.9826,10.5
9,11:12:19,209.618,0,4.639,0.039,0,3.71,0.11,0,3.669,0.269,0,1.483,0.083,0,2.877,-0.023,0,7.684,0.184,0,16.935,0.035,2,3.389,-0.511,0,2.282,-0.218,0,1.513,-0.087,0,2.094,-0.106,2,8.313,-0.387,2,12.807,-0.993,200.699997,62.600002,232.300003,313,12.940854,198.900009,192.199997,210,12.9826,10.5
10,11:12:19,209.667,0,4.642,0.042,0,3.706,0.106,0,3.666,0.266,0,1.49,0.09,0,2.877,-0.023,0,7.681,0.181,0,16.938,0.038,2,3.39,-0.51,0,2.281,-0.219,0,1.513,-0.087,0,2.092,-0.108,2,8.321,-0.379,2,12.808,-0.992,200.699997,62.600002,232.300003,313,12.940854,198.900009,192.199997,210,12.9826,10.5
11,11:12:19,209.717,0,4.644,0.044,0,3.703,0.103,0,3.667,0.267,0,1.49,0.09,0,2.879,-0.021,0,7.68,0.18,0,16.939,0.039,2,3.382,-0.518,0,2.279,-0.221,0,1.513,-0.087,0,2.091,-0.109,2,8.32,-0.38,2,12.803,-0.997,200.699997,62.600002,232.300003,313,12.940854,198.900009,192.199997,210,12.9826,10.5
12,11:12:20,209.768,0,4.644,0.044,0,3.701,0.101,0,3.663,0.263,0,1.488,0.088,0,2.878,-0.022,0,7.685,0.185,0,16.941,0.041,2,3.381,-0.519,0,2.279,-0.221,0,1.513,-0.087,0,2.094,-0.106,2,8.321,-0.379,2,12.803,-0.997,200.699997,62.600002,232.199997,312,12.974536,199,192.199997,210,12.97939,10.44
13,11:12:20,209.817,0,4.653,0.053,0,3.699,0.099,0,3.656,0.256,0,1.491,0.091,0,2.88,-0.02,0,7.681,0.181,0,16.938,0.038,2,3.381,-0.519,0,2.274,-0.226,0,1.513,-0.087,0,2.092,-0.108,2,8.323,-0.377,2,12.806,-0.994,200.699997,62.600002,232.199997,312,12.974536,199,192.199997,210,12.97939,10.44
14,11:12:20,209.868,0,4.659,0.059,0,3.691,0.091,0,3.654,0.254,0,1.492,0.092,0,2.884,-0.016,0,7.671,0.171,0,16.937,0.037,2,3.383,-0.517,0,2.267,-0.233,0,1.513,-0.087,0,2.085,-0.115,2,8.326,-0.374,2,12.806,-0.994,200.699997,62.600002,232.199997,312,12.974536,199,192.199997,210,12.97939,10.44
15,11:12:20,209.917,0,4.661,0.061,0,3.693,0.093,0,3.658,0.258,0,1.494,0.094,0,2.886,-0.014,0,7.672,0.172,0,16.933,0.033,2,3.379,-0.521,0,2.271,-0.229,0,1.513,-0.087,0,2.085,-0.115,2,8.326,-0.374,2,12.801,-0.999,200.699997,62.600002,232.199997,312,12.974536,199,192.199997,210,12.97939,10.44
16,11:12:20,209.967,0,4.66,0.06,0,3.694,0.094,0,3.657,0.257,0,1.491,0.091,0,2.887,-0.013,0,7.671,0.171,0,16.929,0.029,2,3.386,-0.514,0,2.273,-0.227,0,1.513,-0.087,0,2.086,-0.114,2,8.329,-0.371,2,12.801,-0.999,200.699997,62.600002,232.199997,312,12.974536,199,192.199997,210,12.97939,10.44
17,11:12:21,210.017,0,4.661,0.061,0,3.698,0.098,0,3.662,0.262,0,1.491,0.091,0,2.891,-0.009,0,7.673,0.173,0,16.925,0.025,2,3.386,-0.514,0,2.279,-0.221,0,1.513,-0.087,0,2.09,-0.11,2,8.326,-0.374,2,12.803,-0.997,200.699997,62.600002,232.300003,311,12.986911,198.900009,192.300003,210,13.08084,10.469999
18,11:12:21,210.068,0,4.657,0.057,0,3.697,0.097,0,3.666,0.266,0,1.488,0.088,0,2.892,-0.008,0,7.673,0.173,0,16.922,0.022,2,3.393,-0.507,0,2.279,-0.221,0,1.518,-0.082,0,2.091,-0.109,2,8.32,-0.38,2,12.806,-0.994,200.699997,62.600002,232.300003,311,12.986911,198.900009,192.300003,210,13.08084,10.469999
19,11:12:21,210.117,0,4.661,0.061,0,3.701,0.101,0,3.671,0.271,0,1.495,0.095,0,2.897,-0.003,0,7.669,0.169,0,16.919,0.019,2,3.392,-0.508,0,2.281,-0.219,0,1.518,-0.082,0,2.092,-0.108,2,8.343,-0.357,2,12.813,-0.987,200.699997,62.600002,232.300003,311,12.986911,198.900009,192.300003,210,13.08084,10.469999
20,11:12:23,210.617,0,4.669,0.069,0,3.701,0.101,0,3.658,0.258,0,1.477,0.077,0,2.902,0.002,0,7.663,0.163,0,16.922,0.022,2,3.399,-0.501,0,2.279,-0.221,0,1.508,-0.092,0,2.084,-0.116,2,8.354,-0.346,2,12.81,-0.99,200.800003,62.600002,232.199997,312,12.979609,198.900009,192.400009,210,13.053895,10.469999
21,11:12:23,210.667,0,4.67,0.07,0,3.702,0.102,0,3.657,0.257,0,1.478,0.078,0,2.899,-0.001,0,7.664,0.164,0,16.922,0.022,0,3.4,-0.5,0,2.273,-0.227,0,1.508,-0.092,0,2.085,-0.115,2,8.354,-0.346,2,12.809,-0.991,200.800003,62.600002,232.199997,312,12.979609,198.900009,192.400009,210,13.053895,10.469999
22,11:12:23,210.717,0,4.669,0.069,0,3.703,0.103,0,3.656,0.256,0,1.479,0.079,0,2.9,0,0,7.667,0.167,0,16.925,0.025,2,3.398,-0.502,0,2.276,-0.224,0,1.508,-0.092,0,2.084,-0.116,2,8.341,-0.359,2,12.807,-0.993,200.800003,62.600002,232.199997,312,12.979609,198.900009,192.400009,210,13.053895,10.469999
23,11:12:24,210.767,0,4.669,0.069,0,3.701,0.101,0,3.659,0.259,0,1.481,0.081,0,2.899,-0.001,0,7.661,0.161,0,16.925,0.025,0,3.4,-0.5,0,2.276,-0.224,0,1.508,-0.092,0,2.08,-0.12,2,8.334,-0.366,2,12.805,-0.995,200.800003,62.600002,232.300003,312,13.005567,198.900009,192.5,210,12.939761,10.5
24,11:12:24,210.818,0,4.671,0.071,0,3.7,0.1,0,3.654,0.254,0,1.484,0.084,0,2.895,-0.005,0,7.658,0.158,0,16.926,0.026,2,3.394,-0.506,0,2.278,-0.222,0,1.508,-0.092,0,2.078,-0.122,2,8.338,-0.362,2,12.803,-0.997,200.800003,62.600002,232.300003,312,13.005567,198.900009,192.5,210,12.939761,10.5
25,11:12:24,210.867,0,4.667,0.067,0,3.697,0.097,0,3.655,0.255,0,1.477,0.077,0,2.894,-0.006,0,7.662,0.162,0,16.928,0.028,2,3.391,-0.509,0,2.282,-0.218,0,1.508,-0.092,0,2.076,-0.124,2,8.331,-0.369,2,12.799,-1.001,200.800003,62.600002,232.300003,312,13.005567,198.900009,192.5,210,12.939761,10.5
26,11:12:24,210.917,0,4.668,0.068,0,3.696,0.096,0,3.657,0.257,0,1.481,0.081,0,2.886,-0.014,0,7.661,0.161,0,16.93,0.03,2,3.389,-0.511,0,2.283,-0.217,0,1.508,-0.092,0,2.075,-0.125,2,8.334,-0.366,2,12.798,-1.002,200.800003,62.600002,232.300003,312,13.005567,198.900009,192.5,210,12.939761,10.5
27,11:12:24,210.967,0,4.669,0.069,0,3.699,0.099,0,3.663,0.263,0,1.484,0.084,0,2.885,-0.015,0,7.665,0.165,0,16.931,0.031,2,3.387,-0.513,0,2.28,-0.22,0,1.508,-0.092,0,2.079,-0.121,2,8.336,-0.364,2,12.8,-1,200.800003,62.600002,232.300003,312,13.005567,198.900009,192.5,210,12.939761,10.5
28,11:12:25,211.017,0,4.665,0.065,0,3.694,0.094,0,3.662,0.262,0,1.485,0.085,0,2.883,-0.017,0,7.666,0.166,0,16.931,0.031,2,3.39,-0.51,0,2.285,-0.215,0,1.508,-0.092,0,2.075,-0.125,2,8.334,-0.366,2,12.807,-0.993,200.800003,62.600002,232.300003,312,13.009033,198.900009,192.5,210,12.878083,10.5
29,11:12:25,211.069,0,4.66,0.06,0,3.691,0.091,0,3.658,0.258,0,1.481,0.081,0,2.885,-0.015,0,7.664,0.164,0,16.923,0.023,2,3.396,-0.504,0,2.285,-0.215,0,1.508,-0.092,0,2.076,-0.124,2,8.328,-0.372,2,12.817,-0.983,200.800003,62.600002,232.300003,312,13.009033,198.900009,192.5,210,12.878083,10.5
30,11:12:25,211.119,0,4.657,0.057,0,3.695,0.095,0,3.663,0.263,0,1.485,0.085,0,2.888,-0.012,0,7.666,0.166,0,16.918,0.018,0,3.404,-0.496,0,2.296,-0.204,0,1.508,-0.092,0,2.076,-0.124,2,8.324,-0.376,2,12.831,-0.969,200.800003,62.600002,232.300003,312,13.009033,198.900009,192.5,210,12.878083,10.5
31,11:12:25,211.167,0,4.655,0.055,0,3.695,0.095,0,3.665,0.265,0,1.484,0.084,0,2.887,-0.013,0,7.671,0.171,0,16.909,0.009,0,3.41,-0.49,0,2.309,-0.191,0,1.508,-0.092,0,2.077,-0.123,2,8.324,-0.376,2,12.842,-0.958,200.800003,62.600002,232.300003,312,13.009033,198.900009,192.5,210,12.878083,10.5
32,11:12:25,211.217,0,4.653,0.053,0,3.699,0.099,0,3.668,0.268,0,1.486,0.086,0,2.887,-0.013,0,7.677,0.177,0,16.908,0.008,0,3.407,-0.493,0,2.32,-0.18,0,1.508,-0.092,0,2.078,-0.122,2,8.324,-0.376,2,12.849,-0.951,200.800003,62.600002,232.300003,312,13.009033,198.900009,192.5,210,12.878083,10.5
33,11:12:26,211.267,0,4.658,0.058,0,3.704,0.104,0,3.674,0.274,0,1.492,0.092,0,2.895,-0.005,0,7.686,0.186,0,16.908,0.008,0,3.407,-0.493,0,2.33,-0.17,0,1.508,-0.092,0,2.082,-0.118,2,8.315,-0.385,2,12.861,-0.939,200.800003,62.600002,232.199997,311,13.004889,198.900009,192.600006,210,13.020347,10.53
34,11:12:26,211.317,0,4.662,0.062,0,3.709,0.109,0,3.679,0.279,0,1.498,0.098,0,2.903,0.003,0,7.688,0.188,0,16.919,0.019,0,3.413,-0.487,0,2.333,-0.167,0,1.508,-0.092,0,2.084,-0.116,2,8.322,-0.378,2,12.876,-0.924,200.800003,62.600002,232.199997,311,13.004889,198.900009,192.600006,210,13.020347,10.53
35,11:12:28,211.867,0,4.669,0.069,0,3.696,0.096,0,3.666,0.266,0,1.491,0.091,0,2.887,-0.013,0,7.687,0.187,0,16.974,0.074,0,3.406,-0.494,0,2.273,-0.227,0,1.511,-0.089,0,2.081,-0.119,2,8.37,-0.33,2,12.846,-0.954,200.900009,62.600002,232.199997,310,13.050543,198.900009,192.699997,210,12.875639,10.469999
36,11:12:28,211.917,0,4.669,0.069,0,3.695,0.095,0,3.667,0.267,0,1.491,0.091,0,2.888,-0.012,0,7.684,0.184,0,16.973,0.073,0,3.401,-0.499,0,2.263,-0.237,0,1.511,-0.089,0,2.081,-0.119,2,8.365,-0.335,2,12.835,-0.965,200.900009,62.600002,232.199997,310,13.050543,198.900009,192.699997,210,12.875639,10.469999
37,11:12:28,211.966,0,4.671,0.071,0,3.696,0.096,0,3.671,0.271,0,1.492,0.092,0,2.892,-0.008,0,7.685,0.185,0,16.977,0.077,0,3.4,-0.5,0,2.263,-0.237,0,1.511,-0.089,0,2.083,-0.117,2,8.362,-0.338,2,12.833,-0.967,200.900009,62.600002,232.199997,310,13.050543,198.900009,192.699997,210,12.875639,10.469999
38,11:12:28,212.016,0,4.67,0.07,0,3.697,0.097,0,3.672,0.272,0,1.49,0.09,0,2.891,-0.009,0,7.681,0.181,0,16.977,0.077,0,3.403,-0.497,0,2.26,-0.24,0,1.51,-0.09,0,2.081,-0.119,2,8.377,-0.323,2,12.832,-0.968,200.900009,62.600002,232.199997,310,13.050543,198.900009,192.699997,210,12.875639,10.469999
39,11:12:29,212.067,0,4.67,0.07,0,3.695,0.095,0,3.671,0.271,0,1.492,0.092,0,2.89,-0.01,0,7.68,0.18,0,16.97,0.07,2,3.399,-0.501,0,2.258,-0.242,0,1.51,-0.09,0,2.081,-0.119,2,8.368,-0.332,2,12.828,-0.972,200.900009,62.600002,232.199997,312,13.010681,198.900009,192.699997,210,12.906766,10.469999
40,11:12:29,212.117,0,4.669,0.069,0,3.701,0.101,0,3.676,0.276,0,1.497,0.097,0,2.894,-0.006,0,7.68,0.18,0,16.967,0.067,2,3.396,-0.504,0,2.261,-0.239,0,1.51,-0.09,0,2.083,-0.117,2,8.371,-0.329,2,12.831,-0.969,200.900009,62.600002,232.199997,312,13.010681,198.900009,192.699997,210,12.906766,10.469999
41,11:12:29,212.167,0,4.673,0.073,0,3.702,0.102,0,3.679,0.279,0,1.499,0.099,0,2.899,-0.001,0,7.682,0.182,0,16.961,0.061,2,3.392,-0.508,0,2.267,-0.233,0,1.51,-0.09,0,2.085,-0.115,2,8.374,-0.326,2,12.835,-0.965,200.900009,62.600002,232.199997,312,13.010681,198.900009,192.699997,210,12.906766,10.469999
42,11:12:29,212.217,0,4.678,0.078,0,3.707,0.107,0,3.687,0.287,0,1.504,0.104,0,2.904,0.004,0,7.686,0.186,0,16.961,0.061,2,3.393,-0.507,0,2.271,-0.229,0,1.51,-0.09,0,2.09,-0.11,2,8.367,-0.333,2,12.838,-0.962,200.900009,62.600002,232.199997,312,13.010681,198.900009,192.699997,210,12.906766,10.469999
43,11:12:30,212.267,0,4.678,0.078,0,3.707,0.107,0,3.682,0.282,0,1.502,0.102,0,2.904,0.004,0,7.682,0.182,0,16.967,0.067,2,3.395,-0.505,0,2.265,-0.235,0,1.51,-0.09,0,2.09,-0.11,2,8.368,-0.332,2,12.837,-0.963,200.900009,62.600002,232.199997,309,13.05869,198.800003,192.800003,210,13.167175,10.53
44,11:12:30,212.316,0,4.686,0.086,0,3.706,0.106,0,3.677,0.277,0,1.51,0.11,0,2.904,0.004,0,7.682,0.182,0,16.968,0.068,2,3.395,-0.505,0,2.263,-0.237,0,1.51,-0.09,0,2.09,-0.11,2,8.371,-0.329,2,12.837,-0.963,200.900009,62.600002,232.199997,309,13.05869,198.800003,192.800003,210,13.167175,10.53
45,11:12:30,212.366,0,4.691,0.091,0,3.702,0.102,0,3.675,0.275,0,1.513,0.113,0,2.904,0.004,0,7.676,0.176,0,16.97,0.07,2,3.389,-0.511,0,2.258,-0.242,0,1.51,-0.09,0,2.089,-0.111,2,8.363,-0.337,2,12.835,-0.965,200.900009,62.600002,232.199997,309,13.05869,198.800003,192.800003,210,13.167175,10.53
46,11:12:30,212.417,0,4.692,0.092,0,3.702,0.102,0,3.672,0.272,0,1.51,0.11,0,2.913,0.013,0,7.666,0.166,0,16.971,0.071,2,3.385,-0.515,0,2.247,-0.253,0,1.51,-0.09,0,2.088,-0.112,2,8.365,-0.335,2,12.829,-0.971,200.900009,62.600002,232.199997,309,13.05869,198.800003,192.800003,210,13.167175,10.53
47,11:12:30,212.467,0,4.688,0.088,0,3.702,0.102,0,3.668,0.268,0,1.506,0.106,0,2.911,0.011,0,7.664,0.164,0,16.971,0.071,2,3.378,-0.522,0,2.24,-0.26,0,1.51,-0.09,0,2.089,-0.111,2,8.361,-0.339,2,12.819,-0.981,200.900009,62.600002,232.199997,309,13.05869,198.800003,192.800003,210,13.167175,10.53
48,11:12:30,212.516,0,4.688,0.088,0,3.699,0.099,0,3.667,0.267,0,1.506,0.106,0,2.907,0.007,0,7.663,0.163,0,16.97,0.07,2,3.377,-0.523,0,2.236,-0.264,0,1.51,-0.09,0,2.089,-0.111,2,8.359,-0.341,2,12.815,-0.985,200.900009,62.600002,232.199997,309,13.05869,198.800003,192.800003,210,13.167175,10.53
49,11:12:31,212.566,0,4.687,0.087,0,3.699,0.099,0,3.669,0.269,0,1.509,0.109,0,2.909,0.009,0,7.66,0.16,0,16.967,0.067,2,3.38,-0.52,0,2.235,-0.265,0,1.51,-0.09,0,2.09,-0.11,2,8.356,-0.344,2,12.814,-0.986,200.900009,62.600002,232.199997,311,13.01916,198.800003,192.900009,210,13.055313,10.469999
50,11:12:31,212.617,0,4.683,0.083,0,3.697,0.097,0,3.666,0.266,0,1.509,0.109,0,2.909,0.009,0,7.665,0.165,0,16.968,0.068,2,3.387,-0.513,0,2.238,-0.262,0,1.51,-0.09,0,2.089,-0.111,2,8.347,-0.353,2,12.817,-0.983,200.900009,62.600002,232.199997,311,13.01916,198.800003,192.900009,210,13.055313,10.469999
